BubbleSort, QuickSort, MergeSort
23.784, 0.045, 0.018
23.753, 0.045, 0.018
23.857, 0.045, 0.019
23.868, 0.044, 0.018
23.86, 0.046, 0.018
23.802, 0.046, 0.017
23.785, 0.048, 0.019
23.862, 0.051, 0.017
23.828, 0.049, 0.018
23.852, 0.047, 0.017
23.861, 0.046, 0.017
23.816, 0.046, 0.017
23.843, 0.044, 0.019
23.795, 0.046, 0.018
23.834, 0.044, 0.018
23.759, 0.043, 0.018
23.876, 0.047, 0.018
23.688, 0.044, 0.018
23.653, 0.044, 0.017
23.669, 0.045, 0.018
23.58, 0.045, 0.017
23.703, 0.05, 0.017
23.769, 0.045, 0.018
23.709, 0.045, 0.016
23.72, 0.046, 0.018
23.427, 0.044, 0.018
23.698, 0.046, 0.018
24.006, 0.045, 0.018
23.962, 0.045, 0.018
23.849, 0.044, 0.018
23.832, 0.047, 0.018
24.239, 0.047, 0.018
24.03, 0.046, 0.018
23.732, 0.044, 0.018
23.741, 0.046, 0.019
23.721, 0.045, 0.017
23.737, 0.046, 0.019
23.701, 0.046, 0.019
23.744, 0.045, 0.018
23.676, 0.046, 0.017
23.709, 0.045, 0.02
23.654, 0.047, 0.018
25.19, 0.047, 0.02
24.361, 0.047, 0.018
23.751, 0.044, 0.018
23.783, 0.045, 0.019
23.468, 0.044, 0.017
23.815, 0.046, 0.018
23.747, 0.043, 0.018
23.444, 0.045, 0.017
23.635, 0.047, 0.019
24.057, 0.048, 0.017
23.601, 0.047, 0.018
23.78, 0.046, 0.016
24.511, 0.046, 0.018
24.227, 0.046, 0.017
24.234, 0.045, 0.019
24.173, 0.05, 0.018
24.355, 0.05, 0.02
24.319, 0.046, 0.017
24.025, 0.046, 0.021
24.182, 0.046, 0.017
24.012, 0.052, 0.018
24.374, 0.051, 0.018
24.051, 0.046, 0.018
24.309, 0.046, 0.019
24.264, 0.049, 0.017
24.308, 0.046, 0.017
23.749, 0.047, 0.018
23.563, 0.045, 0.017
23.387, 0.043, 0.017
23.033, 0.044, 0.018
23.069, 0.044, 0.019
23.145, 0.044, 0.018
23.552, 0.048, 0.018
23.499, 0.046, 0.017
23.851, 0.043, 0.018
23.298, 0.044, 0.017
23.534, 0.044, 0.017
23.714, 0.045, 0.017
23.62, 0.044, 0.017
23.693, 0.044, 0.018
23.551, 0.044, 0.018
23.726, 0.043, 0.018
23.349, 0.044, 0.018
23.27, 0.044, 0.017
23.313, 0.045, 0.017
23.189, 0.044, 0.017
23.141, 0.044, 0.017
23.097, 0.044, 0.018
23.306, 0.045, 0.017
23.243, 0.044, 0.018
23.128, 0.044, 0.017
23.498, 0.048, 0.017
23.019, 0.044, 0.017
23.665, 0.046, 0.017
23.973, 0.044, 0.018
23.612, 0.044, 0.017
24.112, 0.046, 0.017
23.395, 0.044, 0.017
23.138, 0.044, 0.017
